dvayAv;inaH aG;azaMsasya
gur;u v;i
vIr;am n;aryam
z;arDaH m;Arutam
agn;im varDayAmasi
sumn;A n;avyAMsi
g;AvaH qtAy;antIH
sug;am meS;Aya
k;aH devay;antam
d;uvaH pAh;i
k;aH vaH
;iSum n;a
n;i tv;Am
qj;unA paT;A
mUrD;A n;ABA
svar;Ajam Asate
eSAm n;ayanti
vIx;u ut;a
Asate h;otrABiH
n;a tarut;A
amqtatv;am Ayan
t;aviSI t;anA
m;Arutam j;amBe
;ati akt;uBiH
suv;IrAm ;A
napAt s;akSva
k;aZve v;qSA
varDayAmasi rAy;aH
;indraH v;aruZaH
s;anti k;aZveSu
k;arat p;azve
saty;A samiT;A
ih;a iva
;arBe asti
dvit;A z;avaH
iva s;UryaH
agn;inA turv;azam
D;iyaH pinvAn;AH
sup;aTA kqZu
gAyata y;e
n;a vidy;utaH
;aDi srut;eH
;ajAyanta sv;aBAnavaH
daD;uH ih;a
z;avaH qSidv;iSe
vimucaH napAt
apar;am y;akSi
sahasaH putra
pqYcIt;a h;anti
t;iSWa dev;aH
br;ahma gAyata
v;adAn n;i
spqhayet s;am
ket;unA v;izvam
qt;asya mUrD;A
n;a DUnuT;a
soma venaH
DUtayaH y;at
mIX;uSwamAya t;avyase
v;Ajasya zr;utyasya
s;acA tv;Am
ty;e sUn;avaH
D;anam y;aH
hqd;e y;aTA
y;am upastut;aH
hav;iH s;a
z;am naH
n;a sqjata
;AdityAH qj;unA
parAv;ataH ugr;Adevam
vaH yahv;am
daDr;e ugr;Aya
rudr;Aya pr;acetase
vAvazre ;indum
k;aZvaH m;eDyAtiTiH
tatanaH g;Aya
s;am dUt;am
;agne dUt;aH
mitr;aH v;aruZaH
s;a tv;am
t;qSZayA sah;a
;A sv;azvyam
n;i Dehi
juhuranta ;A
Az;uBiH s;anti
;upa pr;a
m;artAya B;USan
citr;AH r;oDasvatIH
m;artyaH mandr;aH
savit;A UrDv;aH
h;astayoH daDiDv;e
;it vocema
darzat;am y;am
y;aTA tok;Aya
tveS;am panasy;um
pr;a gAyata
;azvAsaH eSAm
g;Am ur;u
itT;A k;aZvAya
vizv;avedasam mah;aH
yAtum;AvataH v;izvam
Imahe y;am
h;asteSu y;at
;it vAm;A
m;A u
dy;avi n;a
;A y;aH
mAy;inaH p;arA
ty;am cit
asi tv;e
mit;adrO ;iSam
UrDv;aH v;Ajasya
marutaH k;asya
aruS;am miyeDya
makS;u t;anAya
pavate kavIy;an
kv:a vaH
Ut;aye t;iSWa
s;a daByate
;it vaH
;amqDram pr;a
mimAti vats;am
nUn;am naH
agn;iH sAt;O
p;iprati p;Anti
bqh;adraTam turv;Itim
acucyavItana gir;In
pr;a nUn;am
v;i ;aMhaH
eSAm pr;a
z;azvate dId;eTa
dyumn;I ;AhutaH
s;OBagam agn;iH
;A yajAmahe
h;anti r;AjaBiH
tv;am naH
ur;u jy;otiH
n;a r;aTaH
;aDi dy;avi
;arvate sug;am
soma zr;iyam
m;A ;arAtayaH
inDate titirv;AMsaH
pr;a cyAvayanti
sud;AnavaH ;indra
y;Atave ty;am
pqznimAtaraH m;artAsaH
;asAmi ;ojaH
y;am v;qSA
y;AmAya pqTiv;I
paT;A yam;asya
ha nUn;am
b;alam j;anAn
br;ahmaZaH p;atiH
v;i t;am
naraH div;aH
aja tv;am
n;aryam paVkt;irADasam
;it h;i
sqj;a prazasta
pAh;i naH
pr;a dev;I
syAt m;A
v;izvA ;it
agne m;anuH
;A t;at
vihv;ayAmahe UrDv;aH
devayat;InAm agn;im
voce devay;antam
agn;im daDire
v;Acam pratih;aryaTa
s;aH agne
;qcaH t;am
cit AD;qSe
parj;anyaH iva
;AzAH p;arvatAnAm
;aDvan ;A
;A naH
y;ajiSWam havyavAhana
y;am r;akSanti
y;am sIm
devAH aneh;asam
mih;aH n;apAtam
aznavat j;anam
z;avaH ;ut
rADAma saKAyaH
aB;i tiSWa
z;apantam pr;ati
u r;aTeSu
r;akSanti pr;acetasaH
y;aH asmaDr;uk
;amavantaH D;anvan
vyund;anti ;aDa
z;uBaH sp;arDante
zriy;e ;A
vaH santu
;aDi t;asya
z;ocasva devav;ItamaH
D;anvan cit
B;arate z;UraH
g;anta vqSw;im
m;eDyAtiTiH Danasp;qtam
k;aZvAya s;OBagam
yuSm;AkABiH Ut;iBiH
sum;anAH ut;a
daDe ;upa
m;AnuSaH daDr;e
udavAh;ena y;at
zat;asya nqZ;Am
asi UrDv;aH
;upa svar;Ajam
k;aZve qt;ajAtaH
p;atiH pr;a
gir;iH y;eSAm
vaH Acak;e
v;i yATana
qSidv;iSe marutaH
m;ahi zr;avaH
g;ave y;aTA
naH sazc;ataH
y;at itT;A
;ojaH biBqTa
;aCa gaCati
v;i yuSm;AkABiH
meD;apatim rudr;am
dUt;aH viz;Am
n;iretave y;at
k;am r;udrAH
k;at vaH
yam;asya gAt
k;asya cit
citr;am qYjate
agne jayati
naraH ;AdityAH
biBIy;At ;A
v;i durg;A
tiSWa t;apuSim
Druv;A y;Ani
naH ady;a
y;at sIm
m;A z;apantam
p;azve n;qByaH
cit sukSit;im
kqDi ;ati
k;aH vqkt;abarhiSam
sukSit;im daDe
zaMsa g;oSu
BUt ;ajoSyaH
y;am k;aZvaH
suv;Iryam agn;iH
cit t;amaH
vaH sumn;A
t;am ;it
kqZuhi m;atsi
Ga Im
;aDvanaH tira
m;iham kqZvanti
vadati ukTy:am
naH pur;aH
tv;am v;Ajasya
ataran r;odasI
m;Arutam gaZ;am
yuSm;Akam astu
zamB;uvam m;antram
sIm ;antam
agn;iH pr;a
tok;am ut;a
k;aH cit
aznavat k;aH
D;iyaH s;Urye
v;andasva m;Arutam
;ati naH
rakS;asaH pAh;i
u ty;e
pr;a ;iSaH
sumn;am Imahe
jar;AyE br;ahmaZaH
