Ayas;aH sah;asraBqSwiH
;A ISe
naH dAt
br;ahmaZA sUdayAmi
havAmahe y;aH
dadarza praTam;am
BUt ;adButasya
sAt;im r;aTAya
vratap;AH ven;aH
Apty;aH s;a
Garm;am omy;Avantam
s;ADiSWeBiH paT;iBiH
nIc;AvayAH aBavat
r;aTena arv;AYcam
d;ayamAnaH ;ojasA
s;omam pav;itre
asm;e aDvary;avaH
ceti razm;iBiH
div;i ;Iyate
m;ahyam ranD;ayan
parAc;EH ;aDArayanta
qt;asya DarZas;i
s;Anu ;adreH
p;arvataH gir;iH
mitrAvaruZO qt;At
y;aH upaj;Ayate
sumn;EH Imahe
k;Asu cit
upayAT;aH suk;qtaH
pit;aram n;a
n;a kAk;udaH
anayanta sasr;utaH
jagm;e s;A
daDarSIt m;A
arcata v;acaH
;avizvaminvAm dv;AdazAram
aB;i y;e
t;amaH kqZvanti
g;omataH stot;qByaH
h;i sT;a
ca jigy;uBiH
pIp;Aya Den;uH
r;aTena vIxup;atmaBiH
priy;aH h;otA
atiratam jahit;asya
apahnuv;e ;astu
ayaMsta Burv;aZiH
m;ayaH ;agnISomA
p;OMsye gir;eH
ev;a n;a
v;i d;AsIH
mar;utaH pariSw;uBaH
zr;eSWam sav;am
asm;Akam ;it
s;Uryasya devatv;am
n;a ;ajAmim
tr;iH p;ArTivAni
hiraZyanemayaH pad;am
avqZIta yuv;am
sanat asm;in
santu n;eme
t;e yanti
Ar;e asya
v;izvam tok;am
rejate tv;aSwA
IzAn;aH ;A
boDi hav;iSaH
v;asya:iSwaye v;ayaH
m;anaH Ayuyuv;e
c;atuSpadI aSw;ApadI
ha d;Azati
saniSZata zravasy;antaH
pAhi zruD;i
;atra ;aha
n;Ama tqt;Iyam
qt;am pUrvy;am
z;AkI Bava
y;oSA Av;iH
;advayAH t;ava
tuSwuv;AMsaH tan;UBiH
tasT;uH pad;e
pr;a avantu
vir;ocamAnam p;ari
h;i p;apriH
vA y;ABiH
indrAgn;iByAm k;am
astoSwa jAt;avedAH
y;at ;arvate
k;at rudr;Aya
dy;OH tat;am
vqSaB;aH cakre
v;iprutam reB;am
uSar vasUy;avaH
vidaH n;a
tveS;asA ranta
;agirOkasaH s;Uryasya
aBihr;utaH v;izvaH
priy;ameDaH k;aZvaH
k;aH dadarza
div;aH ;anteByaH
indra sapt;a
v;asUnAm z;uciH
s;qkvAZam Garm;am
qt;asya jy;otiSaH
;aDi y;e
AzATe rev;at
aps;u yuv;Am
y;avasya v;asunaH
m;AhinaH s;an
sv;akSatreBiH tanv:aH
im;am m;ama
enam aznoti
vizv;azamBuvam ;ApaH
vAjinIvati ;azvAn
v;edaH ;adAzuSAm
hav;iSaH h;avImaBiH
pr;ajAtaH kr;atvA
k;im Iyate
t;ayoH ;it
;ava naH
t;eSu n;ABayaH
z;aMsyam r;ADyam
girvaZaH ;IzAnaH
ty;at vAm
dev;I ;aTa
qB;avaH s;UracakSasaH
vahantu r;aTe
B;avantI pr;ati
n;iH avrat;An
;aCedi parZ;am
katar;A p;UrvA
;enaH B;UyiSWAm
sumat;iH vavqtyAt
roha t;ejasA
s;arvaH eDate
B;UrayaH eS;a
dqz;e v;izvAya
daDAtu p;qSadazvAH
;A ganta
n;ABiH ;atra
turv;aZiH saj;oSAH
;it enam
im;am yajY;am
g;AH adukSat
p;ayoBiH ay;am
sacantAm t;at
m;aDunA p;ayaH
Ayunak ;indraH
te jaGn;uSaH
sv:armIXasya praD;anasya
;A Baratam
z;azvat ;A
m;anaH vasud;eyAya
hav;iSmAn m;anasA
ir;aDyE d;akSam
;indrAya z;arma
te itT;A
p;ArTivAni vimam;e
svast;aye agn;AyIm
Ay;avaH avocan
