eSAm iSir;AsaH adr;uhaH
;indavaH vqSw;ayaH pqTiv;Im
Ay;uBiH ;iBaH r;AjA
v;asUni aB;i v;izvA
druh;aH rakS;asaH pAti
soma mIXvaH k;anikradat
vAG;at vAG;adBiH ;amartyaH
deva soma AK;um
rakSati p;Ati dev;AnAm
vEvasvat;aH y;atra avar;oDanam
pUrvy;aH vasuv;it j;AyamAnaH
m;aDvaH aMz;uH pavate
pr;a yaMsat s;a
v;i DAvasi pr;a
parvatAv;qDam m;aDvaH siYcanti
purusp;qham ;A mandr;am
pr;a m;eDiraH svaD;ayA
;indavaH asm;aByam gAtuv;ittamaH
ay;am B;arAya sAnas;iH
svarv;it ;induH punAn;aH
avyata maG;onaH ;A
n;a ;eti gavyay;uH
pUy;amAnaH aB;i y;ena
;indrAya m;aDumattamAH aB;i
qt;ajAtaH vivAvqD;e r;AjA
;iSyan v;Acam upavakt;A
v;Are avy;aye ;avAvazanta
m;aDvaH ;A yuvate
pratn;AsaH vy:uSwiSu s;omAH
zrIZ;anti agriy;am v;arImaBiH
;agre ;ahnAm h;ariH
h;i aVg;a d;EvyA
kSarantu m;aDumat Gqt;am
yajY;eSu devav;ItamaH asm;aByam
p;ayaH duhanti Ay;avaH
aMz;oH p;ayasA madir;aH
p;atiH t;uByam v;AtAH
manIS;iZaH rudr;AsaH eSAm
r;aZyaH m;adAya sah;asraDAraH
t;uYjAnaH aB;i v;Ajam
;ekam DAvasi pUy;amAnaH
Buvat ukT;am y;at
pavasva mah;e soma
nqS;ahye arazm;AnaH y;e
m;aDumat Gqt;am p;ayaH
m;adAH Ahan;asaH v;ihAyasaH
vAy;um ;indram azv;inA
g;AH iyakSati gqBZ;Ati
Urm;iZA r;AjA dev;aH
Adity;eBiH aKyata s;am
pavate m;qDaH ;apa
tuviSv;aZi ;indrAya soma
matIn;Am s;omaH punAn;aH
y;am ;atyam iva
nanAza t;am ;A
tir;aH pav;itram pariy;an
dev;atAtaye m;aDoH D;ArAm
m;adaH s;omaH mar;utvate
v;itatam ant;ar ;A
y;onim ;A asadat
sIdati paz;O n;a
jan;ayan asiSyadat p;avate
y;ena mitr;Av;aruZA k;arAmahe
maMhase p;ajrAyAH garBa
s;omaH mIXv;An ;asuraH
kav;iBiH madintama sv;adasva
asy;AH ;adAByaH d;aDAti
yat;aH p;ari k;ozAn
zr;avaH bqh;at p;avasva
arSati ;avye vaDUy;uH
ut;a soma te
;apa dv;iSaH ;indo
p;ari dyukS;aH san;adrayiH
v;Ajapastyam ;A haryat;Aya
aps;u duSw;aram s;omam
zyenaBqta pr;ayAMsi ray;im
;A kal;azAH anUSata
k;ozam arSasi ap;Am
p;uruhUta j;anAnAm priy;aH
mah;aH puruzcandr;asya rAy;aH
;A qt;asya D;arman
sah;asraDAre ;ava t;e
pqSW;am ;aDi tiSWanti
vAj;I siSAsati p;avamAnaH
van;anAH atiSWipat ap;aH
akSAr pav;itram ;ati
m;adaH ;A ;indrasya
kSarat ;indrasya vAy;oH
D;IraH pit;uH n;a
D;ArAH maDuzc;utaH ;asqgram
mah;AnAm dev;AnAm vIt;im
;asarji eS;a pratn;ena
qt;am bqh;at zukr;am
p;ari v;Aje n;a
ray;im p;avantAm ;A
aB;i gavy;A sah;asrA
iva zur;uDaH s;a
v;aDatre ;asvApayat nig;utaH
soma D;AmaBiH t;ava
asi t;am tvA
vidv;An ena sumat;im
praj;AvatIH vizv;AyuH v;izvAH
div;aH t;ena naH
aB;i ;azvAn raT;inaH
tv;Am yajY;EH avIvqDan
riz;AdAH B;ara candr;AZi
hqdaMs;aniH ;arSa naH
asTAt vqSaB;aH vicakSaZ;aH
v;anA v;asAnaH v;aruZaH
t;am tvA nqmZ;Ani
r;ucaH ;ut te
div;aH v;asu ut;a
sut;aH sah;asraDAraH ;ati
m;anaH ;indrAya indo
viDyati kart;e avrat;An
n;a mAt;uH ;upa
k;qtvyaH r;asaH mah;An
;asi dAtr;asya dAt;A
iva s;aKye gAtuv;ittamaH
v;qSZyam B;ava v;Ajasya
h;i tv;am ;ahinAmnAm
Azata ;atra kart;am
devav;IH ;ati aB;i
zqZv;e vqSw;eH iva
asm;aByam soma duSw;aram
bqhat;e t;at uzanti
s;ome ark;AH triSw;uBaH
v;anAmahE s;omAH pavante
aranta n;ABayaH tr;In
vraj;am n;a pazuv;arDanAya
v;i gAhate d;aDat
;anu ;ApaH arSanti
naH nid;aH et;e
;etazaH tv;am h;i
z;ambaram ;aDa ty;am
naH indo mah;e
ca mahivrata pqTiv;Im
yuYjanti urucakr;e qSv;am
Dar;uZaH pqTivy;AH ;qSiH
s;ahamAnaH pqtany;Un s;eDan
sat;aH B;uvanasya pate
rAy;aH Dart;A naH
;A asadaH c;AruH
m;adaH v;areZyaH t;ena
avy;aye s;a v;izvA
ty;AH har;itaH d;aza
asy;a ;it ;indraH
aB;i v;AZIH ;qSIZAm
s;omAsaH azvay;A zukr;AsaH
niriZAn;aH v;i DAvati
m;adaH eS;a zuSm;I
IVKaya vaD;EH vaDasno
s;argAH sqSw;AH aheSata
asqkSata marmqjAn;AsaH Ay;avaH
s;a mqjyate suk;armaBiH
vidv;An vanavat vanuSyat;aH
bqh;antaH t;An te
hit;aH s;omaH hinve
mAt;qSu pram;e s;acA
kS;Am s;omaH p;ari
div;aH janit;A pqTivy;AH
haryat;am B;UricakSasam t;am
k;ozam Asate pr;a
vIt;aye y;aTA mitr;Aya
indo ;anDasaH dev;AH
;avarAZi ;A tiSWati
s;aKyuH n;a pr;a
indo v;qSA ;A
iva h;otuH punAn;aH
ca soma g;opatI
vqtrah;A pavasva zagD;i
sIdati g;aCan jAr;aH
aps;u mqYjata t;am
j;anAnAm t;akSA riSw;am
Bara svarv;idam ;indrAya
samudr;e ;AhitaH ;A
BAn;unA dyum;antam tvA
devay;uH y;at s;omaH
y;at asmin vAj;ini
y;Amani ;induH dev;eSu
n;a s;UryaH ;adriBiH
v;adan soma rAjan
;A t;u naH
p;avasva devav;IH ;ati
y;A te BIm;Ani
akramuH s;omam manIS;AH
;ati t;An ihi
asmay;uH ;acikradat v;qSA
D;ArA sut;asya ;anDasaH
p;ayoBiH ;At Im
m;aDumattamaH ;asqgran dev;avItaye
juSanta ;asAvi s;omaH
huvema d;evAH Datt;a
cam;USu sIdati krIx;uH
ut;a Atm;A yajY;asya
n;qBiH yemAn;aH k;oze
g;ave z;am j;anAya
Urm;iH kav;iH ajyase
v;aze tv;am indo
aB;i arSasi mqjAn;aH
m;ama sT;ana div;aH
n;a pavate z;uci
suv;Iryam pr;a suvAn;aH
indavaH d;aDAta ven;am
d;ivam v;i ;A
mah;at ;indrAya indo
mIXv;An aB;i naH
pavamAna m;aDvA s;am
n;avyase vizvavAra sUkt;Aya
pit;A matIn;Am ;asamaSwakAvyaH
hiyAn;aH aB;i v;Ajam
yujAn;aH siMh;aH n;a
;arjune ;atke avyata
s;omaH kal;aze zat;ayAmnA
n;i n;ediSWatamAH iS;aH
m;ahi zr;avaH citr;eBiH
;A pavasva h;iraZyavat
;At Im v;izvA
srava y;atra jy;otiH
D;Ama p;Urvam ;agan
;anu prad;izam yAti
svAyuDa ih;a u
urucakr;e qSv;am sv;asAraH
maG;avA Bava naH
agn;iH n;a y;aH
yajY;eSu mAnavI ;induH
s;adma d;Evyam n;aBaH
nikt;aH vAj;I D;anAya
tok;asya sAt;A tan;UnAm
m;atsi dev;An m;atsi
pavamAna niSkqt;am g;oBiH
vayoD;AH amitrah;A varivov;it
p;avasva vizv;adarzataH asm;aByam
s;ammizlaH aruS;aH Bava
D;Ama praTam;am vyAnaz;e
aBivr;ajan ;akSitam p;AjaH
p;ari v;Are Urm;iZA
pUrv;IH h;i te
br;ahma-brahma y;e jujuS;uH
sah;a s;a vqtrah;A
veDasy;A p;ari eSi
draps;An Ir;ayan vid;aTeSu
gavy;an aB;i z;UraH
v;izaH r;AjA iva
s;omaH u suvAn;aH
vAy;um s;omAH asqkSata
eS;a punAn;aH m;aDumAn
p;avamAnaH sahasr;iZam p;ari
z;UrataraH BUrid;AByaH cit
iSyati s;iSAsan vAjas;AH
ca dUrak;e Bay;am
pavate AyuS;ak ;indram
p;Atave div;aH pIy;USam
vizvav;it m;anasaH p;atiH
y;ojanA v;i sukr;atuH
h;ariH mitr;asya s;adaneSu
;ut iyarti praj;AvatIH
sud;uGAH pUy;amAnaH aB;i
n;u naH ray;im
kav;iH ;A pavamAna
naH ;A dade
ih;a p;avamAna v;i
y;atra v;izve kAr;avaH
v;AjasAtaye s;omAH sah;asrapAjasaH
;aDa D;ArayA m;aDvA
b;aBro duduhr;e ;akSitam
