nit;ozanam vqSaB;am
;A madryadr;ik
tigm;am cit
;asamA bAh;uBiH
v;qSZyAni kqZuh;i
matIn;Am ;upa
sOzravas;Ani santu
Urv;At g;AH
d;adAzat s;a
puruv;Iram bqh;antam
vavqtyAH tv;am
s;am mimIhi
;AmizlatamaH sut;aH
;agne yajY;eSu
dev;An vakSi
h;aste ;A
sv;avAn qt;AvA
s;am aja
kuv;it t;asmE
many;ave ;aCa
ray;im maG;avadByaH
srasema vqj;anam
m;anojaveBiH iSir;EH
p;USan ;anu
y;e niS;adi
Urjasane ;Urjam
vqZ;ak p;iprum
Ut;I ;agne
y;am dev;AsaH
riS;aH am;A
sah;a mAday;aDyE
ca y;ABiH
kav;eH divy;asya
;agne y;at
sahiSWa turat;aH
vaD;UmataH maG;avA
;aDi Dehi
zravasy;avaH zr;avaH
mahim;anaH samasya
miTat;IH ;adevIH
h;i v;izvA
;arvataH ;indram
m;aMhiSWA tuviz;uSmA
dyumn;A v;qSZyA
mqxatam naH
barh;iSaH r;Aw
n;araH D;anvAni
ca DqSZo
;AtataH s;UraH
Id;qze hat;aH
;ahar ca
ca v;i
pUSZ;A gamemahi
cit ;ema
s;aKyA s;atpatiH
rev;adBiH agne
v;i kr;andasI
te pUSan
dev;eBiH ;anu
carati dUr;AaDIH
maG;avatsu DAraya
t;A ha
boDi puraet;A
agn;iH t;amAMsi
sahasaH vAvasAn;AH
san;im v;Ajam
pitr;A s;aH
br;ahma praj;Avat
kqSZ;ADvA ;aDa
tury;Ama y;aH
y;adum svast;i
mandasAn;aH s;omEH
kav;im samr;Ajam
suzast;i ;upa
dev;atA vAy;um
dAz;uSe suvati
ut;a ad;aH
s;ahoBiH sp;qDaH
m;anyamAnaH yuy;oDa
p;ibatam m;aDvaH
v;akvarI y;asya
zr;avasA m;artyeSu
Imahe p;USan
v;i BAsi
sTir;Aya n;a
kqZuhi vIt;aye
;annam sut;aH
;ixAm m;adema
agn;aye st;omam
;A gahi
asi v;izvAH
kav;ikratuH dUt;aH
purox;Azam r;arAZaH
pratn;am saKy;am
y;e vAm
y;aH indra
any;asya v;ahnayaH
;avasi z;UrasAtO
;it maG;onaH
uB;e ;aDa
hit;aH dev;eBiH
Br;AjajjanmAnaH mar;utaH
r;ocamAnAH ;asTuH
paT;iBiH pAr;ayantA
sahantya ;agne
;aSwrAm pUS;A
ca DqSZuy;A
vIra kAruDAyaH
devA itT;A
n;amasvAn ;A
y;asyAH anant;aH
n;a devA
s;a raT;ItamaH
jm;aH ;antAn
aDr;uk y;uvAnA
ca Dehi
Ar;e bADeTAm
asy;a s;omasya
barh;iH y;ajamAnasya
y;ajIyAn t;am
aps;Am qtIS;aham
;agne v;ipraH
dr;aviZam ca
dasm;avarcAH y;am
pr;a vikS;u
s;aMdqSwiH iSayat;e
n;u s;a
naH aG;azaMsaH
v;Ajasya sAt;O
tvA paTaH
indra p;anTAm
h;avam ;A
DIt;iBiH B;asat
v;qSA m;adaH
t;Avat te
;indrasya tanyati
uB;ayAsaH j;anAnAm
daDAtu d;akSiZam
DatT;aH v;asumantam
tatanTa BAn;unA
;upa asadat
pr;a sarsre
naH ;asti
s;ahasvAn y;at
nudasva s;a
;indram iy;am
v;iSZum agn;im
m;adam m;aDyam
g;avAm iva
t;A yajY;am
Gqtap;qcA GqtAv;qDA
sahaskqta ;agne
dy;AvaH n;a
sIr;AH n;a
jUrZ;inI Gqt;AcI
nakSaddAB;am t;aturim
agAmi B;ArataH
vaheyuH n;u
m;ade s;at
agne qc;A
dUr;AaDIH k;im
me aCAn
vAj;inam sv;asuH
hit;e ;indram
vAj;iBiH zun;am
v;qSA s;am
vikS;u prad;ivaH
puruc;etanaH d;ivodAsasya
rocan;A kav;iH
;indrAsomA m;ahi
;aVgiroBiH h;an
r;aTaH aDvar;am
B;Uma h;exaH
sum;eke ;aDa
B;Ut ;atiTiH
tir;aH t;amasaH
rAy;A s;am
n;Utanasya brahmaZyat;aH
v;asoH rAz;iH
nah;i te
t;anaye g;oSu
zIrS;A vavqktam
sUno ;asi
n;a dy;AvaH
gop;AH av;aH
mah;e viDema
narA ;indrAgnI
g;AH ant;ar
vAvqSAZ;AH s;am
uS;asaH d;uhAnAH
v;Ajam ray;im
BUtam dvip;ade
sTUr;am bqh;antam
asm;e r;etaH
anud;eyam mah;e
dyut;A tv;am
;indrAsomA vAs;ayaTaH
mah;An naH
pAr;ayantA y;A
vAm;am asm;aByam
nad;InAm p;ariSWitam
jAt;avedasaH vEzvAnar;Aya
y;am tv;am
praj;AvatIH sUy;avasam
ap;aH g;AH
cit vIxit;A
p;arvatAn ca
nizqmB;AH t;e
uB;ayAni zUra
saMd;qzam ut;a
kS;odaH m;ahi
v;ayaH DAH
pqZata Boj;am
y;aH asmE
n;amasA vy;antaH
v;ocaH sumat;im
;avIH v;Ajasya
;ava padyate
arc;atrayaH D;unayaH
sumIX;e zat;am
Biy;A agn;iH
dy;oH dqX;aH
sUn;um s;ahasaH
;ApaH n;a
y;aH te
v;izvam n;i
havy;A maG;Ani
k;arma agman
s;a vraj;am
ut;a sanoti
ririce r;odasyoH
;ekaH kqSw;IH
g;oagrAH ay;am
z;aviSWam pratn;am
naSw;am ;A
vajrin sv;am
iva aps;u
;avaH DAta
r;aTe hiraZy;aye
carSaZipr;AH n;u
;A vaha
te Bavantu
;asTuH ap;Am
