p;avamAna ;ABqtam
;A ;indram
d;EvyA huve
pavasva madintama
siYcata sut;am
kAr;avaH v;qSZaH
y;onim s;adanam
sam;ayA ;ati
tv;am samudr;aH
m;ahi ps;araH
n;a s;inDUn
akramuH ;At
g;oBiH ;uttaraH
gIrB;iH vAsayAmasi
rev;atIH ;iSaH
s;a trit;asya
m;atsi dy;AvApqTiv;I
k;ozam Asate
catv;Ari any;A
tv;Am dev;AsaH
dev;EH dyAvApqTivI
vA aryam;aZA
v;i ratnaD;AH
sicyate h;ariH
vacov;it aDvasm;aBiH
y;e pavamAna
nid;aH spar
asya t;antavaH
soma sikt;aH
v;AjasAtaye p;avasva
asarat v;qSA
p;invamAnA div;e-dive
h;i aVg;a
daD;e sv:ar
UrZute tv;e
saKy;am Aviz;an
mat;iBiH p;ariSkqtam
indriy;am r;asam
n;a s;UryaH
barh;aZA gir;A
v;i yAti
;aDa priy;am
aDukSata ;indram
sv;asyAH ;arAtyAH
z;uSmam uttam;am
;aDi rocan;e
c;itAnAH g;oH
g;AH indo
pavamAna v;iSZum
vAc;aH ;adAByam
asm;e v;AjaH
v;AtAH aBipr;iyaH
akqpanta pUrv;IH
;avqZIta dev;An
asm;e zr;avAMsi
aB;i zr;iyaH
kal;aze dev;avAtaH
s;omAya vyazvav;at
indo pavase
samiT;A mit;adrO
;iti y;aH
veD;asaH ap;aH
gavy;an aB;i
rAy;aH suv;Iryasya
y;onim ;ayohatam
punAn;aH v;Acam
zv;Anam arAD;asam
D;ArayA anUp;e
ven;AH avIvipan
pur;UZi sAt;aye
Dart;A asi
uttam;am hav;iH
Bara s;oma
savit;A saty;amanmA
dev;An qtAv;qDaH
pav;itre s;omam
jayasi zr;avaH
;ajIjanaH amqta
zat;ahimAya g;onAm
qt;am yat;e
;azvyam varm;I
s;a vAy;um
;amqktena r;uzatA
aB;i ;indram
indo m;adeSu
druS;at camv:oH
;azvEH maG;avA
im;AH p;aYca
gqZAn;AH zr;avase
aps;AH yAti
gavy;A jigAti
n;a pur;i
aB;i saty;aH
k;AvyA ;anu
pratn;ena j;anmanA
B;arAya kAr;iZaH
rAy;aH puruB;USu
v;i aznate
D;anutrIH h;ariH
vidaH j;AyamAnaH
z;uciH punAn;aH
pavasva viz;e
pavate samudr;aH
m;aDumattamaH sah;asram
priy;aH h;ariH
asi pr;a
zoc;iSA v;i
v;i DArayaH
daDe D;IrAH
prav;atA yat;IH
gUrt;iBiH s;am
mah;aH puruzcandr;asya
sut;AsaH mad;intamAH
pavate indra
s;omasya pIt;aye
vyAnaz;iH pavase
daz;aBiH kS;ipABiH
yahv;atIH ;ApaH
marmqjy;ate D;iyaH
hinvAn;AsaH ;indavaH
sacate s;inDuSu
s;Uryasya dr;oZam
